title,year,author,journal,doi,type,issn,shortname,journal_short,publisher,issue,volume,page,published,subject,abstract,licence,pmid,keyword,pmcid
Investigating the Biomedical Workforce,,,,,,,,,,,,,,,,,,,
"Investigating the US Biomedical Workforce: Gender, Field of Training, and Rentention",,,,,,,,,,,,,,,,,,,
The Power of Negative Thinking: Cynicism and the History of Modern American Literature,2009.0,"[{'name': 'Review of ""'}]",""" by Benjamin Schreier. University of Virginia Press. 2009.  $39.50.  ISBN 978-0-8139-2812-8",,,,,,,,,,,,,,,,
"Review of ""Emerson's Ghosts:Literature, Politics, and the Making of Americanists""",,,,,,,,,,,,,,,,,,,
Chaucer's Langland's Boethius,,,,,,,,,,,,,,,,,,,
"Investigating the US Biomedical Workforce: Gender, Field of Training, and Rentention",,,,,,,,,,,,,,,,,,,
"Welfare Rules, Incentives, and Family Structure",2020.0,"[{'given': 'Robert A.', 'family': 'Moffitt', 'name': 'Robert A. Moffitt'}, {'given': 'Brian J.', 'family': 'Phelan', 'name': 'Brian J. Phelan'}, {'given': 'Anne E.', 'family': 'Winkler', 'name': 'Anne E. Winkler'}]",Journal of Human Resources,10.3368/jhr.55.1.0717.8928r,journal-article,"['0022-166X', '1548-8004']",J. Human Resources,J. Human Resources,University of Wisconsin Press,1,55,1-42,2020-01-01,"['Management of Technology and Innovation', 'Organizational Behavior and Human Resource Management', 'Strategy and Management', 'Economics and Econometrics']",,,,,
Parents as Teachers and Mother's Education,,,,,,,,,,,,,,,,,,,
Women's Labor Force Participation,,,,,,,,,,,,,,,,,,,
"Teen Time Use, Gender, and the COVID Pandemic",,,,,,,,,,,,,,,,,,,
Investigating the Biomedical Workforce,,,,,,,,,,,,,,,,,,,
"Work and Family: Trends, Sources, and Data Definitions",,,,,,,,,,,,,,,,,,,
Homelessness and Foreclosures,,,,,,,,,,,,,,,,,,,
Women's Labor Force Participation,,,,,,,,,,,,,,,,,,,
John Dixon Hunt's The Afterlife of Gardens,,,,,,,,,,,,,,,,,,,
Factors Predictive of Corneal Flap Thickness in Laser in situ Keratomileusis,,,,,,,,,,,,,,,,,,,
"Use of Psycotropic Medications in Patients Before and After Primary LASIK, LASIK Retreatment and Contact Lens Fitting",,,,,,,,,,,,,,,,,,,
Incorporating Therapeutic Assessment in a Mental Health Clinic,,,,,,,,,,,,,,,,,,,
Potential Ways to Predict and Manage Telecommuters' Feelings of Professional Isolation,2021.0,"[{'given': 'Maria A.', 'family': 'Spilker', 'name': 'Maria A. Spilker'}, {'given': 'James A.', 'family': 'Breaugh', 'name': 'James A. Breaugh'}]",Journal of Vocational Behavior,10.1016/j.jvb.2021.103646,journal-article,['0001-8791'],Journal of Vocational Behavior,Journal of Vocational Behavior,Elsevier BV,,131,103646,2021-12-01,"['Life-span and Life-course Studies', 'Organizational Behavior and Human Resource Management', 'Applied Psychology', 'Education']",,,,,
An Examination of the Antecedents and Consequences of the Use of Family-Friendly Benefits,,,,,,,,,,,,,,,,,,,
Controlling Nuisance Variables by Using a Matched-Groups Design,2007.0,"[{'given': 'James A.', 'family': 'Breaugh', 'name': 'James A. Breaugh'}, {'given': 'Jessalyn', 'family': 'Arnold', 'name': 'Jessalyn Arnold'}]",Organizational Research Methods,10.1177/1094428106292895,journal-article,"['1094-4281', '1552-7425']",Organizational Research Methods,Organizational Research Methods,SAGE Publications,3,10,523-541,2007-07-01,"['Management of Technology and Innovation', 'Strategy and Management', 'General Decision Sciences']"," In this article, the authors provide an introduction to the use of a matched-groups design as a strategy for controlling nuisance variables. Building on the insightful comments of Campbell and Kenny and of Meehl, the authors utilized Monte Carlo simulations to highlight three major limitations of this control strategy (i.e., regression toward different means, systematic unmatching, and the generalizability of results) that they believe have received insufficient attention by researchers. Particular attention is given to how the effect of regression toward different means can result in researchers' drawing erroneous conclusions from their data. Recommendations for researchers considering the use of a matched-groups design are provided. ",,,,
